Sample	Name-Deploy_Cartr_Library	Name.Deploy_Cartr	Deployment	Cartridge_ID	sites	replicates	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day
1_2_ES_S1_L002	1_2_ES_S1	1_2	1	2	10	1_10	NA	0.719	40.837915	-72.536772	W	OPEN WATER	Trawl	9/10/24	11:07:36	11:21:00	Day	20240910	2024	9	10
1_4_ES_S1_L002	1_4_ES_S1	1_4	1	4	12	1_12	NA	0.792	40.83347403	-72.55252498	W	OPEN WATER	Trawl	9/10/24	11:51:26	NA	Day	20240910	2024	9	10
1_5_ES_S1_L002	1_5_ES_S1	1_5	1	5	9	1_9	NA	0.975	40.828756	-72.532029	W	OPEN WATER	Trawl	9/10/24	12:29:41	12:44:45	Day	20240910	2024	9	10
1_7_ES_S1_L002	1_7_ES_S1	1_7	1	7	8	1_8	NA	0.758	40.848629	-72.548015	W	OPEN WATER	Trawl	9/10/24	13:26:53	13:38:34	Day	20240910	2024	9	10
1_9_ES_S1_L002	1_9_ES_S1	1_9	1	9	4	1_4	NA	0.691	40.84662	-72.500542	E	OPEN WATER	Trawl	9/10/24	14:43:04	14:55:15	Day	20240910	2024	9	10
1_10_ES_S1_L002	1_10_ES_S1	1_10	1	10	3	1_3	NA	0.766	40.850855	-72.488632	E	OPEN WATER	Trawl	9/10/24	15:06:25	15:18:46	Day	20240910	2024	9	10
1_11_ES_S1_L002	1_11_ES_S1	1_11	1	11	2	1_2	NA	0.536	40.862639	-72.493509	E	OPEN WATER	Trawl	9/10/24	15:33:10	15:42:59	Day	20240910	2024	9	10
1_12_ES_S1_L002	1_12_ES_S1	1_12	1	12	2	1_2	NA	0.527	40.862639	-72.493509	E	OPEN WATER	Trawl	9/10/24	15:44:20	15:54:19	Day	20240910	2024	9	10
1_13_ES_S1_L002	1_13_ES_S1	1_13	1	13	1	1_1	NA	0.438	40.881043	-72.480417	E	OPEN WATER	Trawl	9/10/24	16:18:11	NA	Day	20240910	2024	9	10
1_14_ES_S1_L002	1_14_ES_S1	1_14	1	14	1	1_1	NA	0.382	40.881043	-72.480417	E	OPEN WATER	Trawl	9/10/24	16:34:00	NA	Day	20240910	2024	9	10
1_15_ES_S1_L002	1_15_ES_S1	1_15	1	15	13	1_13	NA	0.573	40.868552	-72.474623	E	OPEN WATER	Trawl	9/10/24	16:56:57	17:07:37	Day	20240910	2024	9	10
1_16_ES_S1_L002	1_16_ES_S1	1_16	1	16	13	1_13	NA	0.644	40.86847	-72.474572	E	OPEN WATER	Trawl	9/10/24	17:11:30	17:22:20	Day	20240910	2024	9	10
1_18_ES_S1_L002	1_18_ES_S1	1_18	1	18	11	1_11	NA	1	40.856391	-72.456575	E	OPEN WATER	Trawl	9/10/24	17:55:11	18:10:37	Day	20240910	2024	9	10
1_19_ES_S1_L002	1_19_ES_S1	1_19	1	19	7	1_7	NA	0.481	40.876297	-72.457371	E	OPEN WATER	Trawl	9/10/24	18:33:36	18:45:37	Day	20240910	2024	9	10
1_20_ES_S1_L002	1_20_ES_S1	1_20	1	20	20	1_20	NA	0.116	40.86892	-72.4441	E	OPEN WATER	New	9/10/24	18:59:30	19:09:29	Day	20240910	2024	9	10
2_1_ES_S1_L002	2_1_ES_S1	2_1	2	1	15	2_15	NA	0.7	40.881657	-72.440188	E	OPEN WATER	New	9/11/24	15:30:44	15:41:44	Day	20240911	2024	9	11
2_2_ES_S1_L002	2_2_ES_S1	2_2	2	2	28	2_28	NA	0.7	40.844827	-72.508885	W	EELGRASS	Shallow	9/11/24	18:12:43	18:24:33	Day	20240911	2024	9	11
