Sample	Name-Deploy_Cartr_Library	Deployment	Cartridge_ID	sites	replicates	site_altname	controls	Volume_liter	lat	long	Bayside	Habitat	Site-type	Date	Start Time (ET)	End Time (ET)	Night/ Day	Datecode	Year	Month	Day
1.2ES2_S25_L001	1.2ES2	1	2	10	1_10	10	NA	0.719	40.837915	-72.536772	W	OPEN WATER	Trawl	9/10/24	11:07:36	11:21:00	Day	20240910	2024	9	10
1.4ES2_S25_L001	1.4ES2	1	4	12	1_12	12	NA	0.792	40.83347403	-72.55252498	W	OPEN WATER	Trawl	9/10/24	11:51:26	NA	Day	20240910	2024	9	10
1.5ES2_S25_L001	1.5ES2	1	5	9	1_9	9	NA	0.975	40.828756	-72.532029	W	OPEN WATER	Trawl	9/10/24	12:29:41	12:44:45	Day	20240910	2024	9	10
1.7ES2_S25_L001	1.7ES2	1	7	8	1_8	8	NA	0.758	40.848629	-72.548015	W	OPEN WATER	Trawl	9/10/24	13:26:53	13:38:34	Day	20240910	2024	9	10
1.9ES2_S25_L001	1.9ES2	1	9	4	1_4	4	NA	0.691	40.84662	-72.500542	E	OPEN WATER	Trawl	9/10/24	14:43:04	14:55:15	Day	20240910	2024	9	10
1.10ES2_S25_L001	1.10ES2	1	10	3	1_3	3	NA	0.766	40.850855	-72.488632	E	OPEN WATER	Trawl	9/10/24	15:06:25	15:18:46	Day	20240910	2024	9	10
1.11ES2_S25_L001	1.11ES2	1	11	2	1_2	2	NA	0.536	40.862639	-72.493509	E	OPEN WATER	Trawl	9/10/24	15:33:10	15:42:59	Day	20240910	2024	9	10
1.12ES2_S25_L001	1.12ES2	1	12	2	1_2	2	NA	0.527	40.862639	-72.493509	E	OPEN WATER	Trawl	9/10/24	15:44:20	15:54:19	Day	20240910	2024	9	10
1.13ES2_S25_L001	1.13ES2	1	13	1	1_1	1	NA	0.438	40.881043	-72.480417	E	OPEN WATER	Trawl	9/10/24	16:18:11	NA	Day	20240910	2024	9	10
1.14ES2_S25_L001	1.14ES2	1	14	1	1_1	1	NA	0.382	40.881043	-72.480417	E	OPEN WATER	Trawl	9/10/24	16:34:00	NA	Day	20240910	2024	9	10
1.15ES2_S25_L001	1.15ES2	1	15	13	1_13	13	NA	0.573	40.868552	-72.474623	E	OPEN WATER	Trawl	9/10/24	16:56:57	17:07:37	Day	20240910	2024	9	10
1.16ES2_S25_L001	1.16ES2	1	16	13	1_13	13	NA	0.644	40.86847	-72.474572	E	OPEN WATER	Trawl	9/10/24	17:11:30	17:22:20	Day	20240910	2024	9	10
1.18ES2_S25_L001	1.18ES2	1	18	11	1_11	11	NA	1	40.856391	-72.456575	E	OPEN WATER	Trawl	9/10/24	17:55:11	18:10:37	Day	20240910	2024	9	10
1.19ES2_S25_L001	1.19ES2	1	19	7	1_7	7	NA	0.481	40.876297	-72.457371	E	OPEN WATER	Trawl	9/10/24	18:33:36	18:45:37	Day	20240910	2024	9	10
1.20ES2_S25_L001	1.20ES2	1	20	20	1_20	20	NA	0.116	40.86892	-72.4441	E	OPEN WATER	New	9/10/24	18:59:30	19:09:29	Day	20240910	2024	9	10
2.1ES2_S25_L001	2.1ES2	2	1	15	2_15	15	NA	0.7	40.881657	-72.440188	E	OPEN WATER	New	9/11/24	15:30:44	15:41:44	Day	20240911	2024	9	11
2.2ES2_S25_L001	2.2ES2	2	2	28	2_28	T2	NA	0.7	40.844827	-72.508885	W	EELGRASS	Shallow	9/11/24	18:12:43	18:24:33	Day	20240911	2024	9	11
2.3ES2_S25_L001	2.3ES2	2	3	14	2_14	14	NA	0.7	40.843457	-72.518716	W	OPEN WATER	New	9/11/24	18:40:48	18:52:19	Day	20240911	2024	9	11
2.4ES2_S25_L001	2.4ES2	2	4	24	2_24	Tiana	NA	0.7	40.86009	-72.537887	W	CLAM SANCTUARY	Shallow	9/11/24	19:32:46	19:44:37	Night	20240911	2024	9	11
2.5ES2_S25_L001	2.5ES2	2	5	8	2_8	8	NA	0.7	40.848629	-72.548015	W	OPEN WATER	Trawl	9/11/24	20:03:55	20:15:36	Night	20240911	2024	9	11
2.6ES2_S25_L001	2.6ES2	2	6	12	2_12	12	NA	0.7	40.833474	-72.552525	W	OPEN WATER	Trawl	9/11/24	20:38:47	20:50:38	Night	20240911	2024	9	11
2.7ES2_S25_L001	2.7ES2	2	7	22	2_22	22	NA	0.7	40.83968	-72.56623	W	OYSTER REEF	New	9/11/24	21:13:59	21:25:29	Night	20240911	2024	9	11
2.8ES2_S25_L001	2.8ES2	2	8	23	2_23	WC	NA	0.7	40.838677	-72.568717	W	CLAM SANCTUARY	Shallow	9/11/24	21:33:17	21:44:47	Night	20240911	2024	9	11
2.9ES2_S25_L001	2.9ES2	2	9	16	2_16	16	NA	0.7	40.82784	-72.57621	W	OPEN WATER	New	9/11/24	22:07:48	22:19:19	Night	20240911	2024	9	11
2.10ES2_S25_L001	2.10ES2	2	10	26	2_26	C4	NA	0.7	40.812303	-72.590097	W	OYSTER REEF	Shallow	9/11/24	22:45:33	22:57:13	Night	20240911	2024	9	11
2.11ES2_S25_L001	2.11ES2	2	11	9	2_9	9	NA	0.7	40.828729	-72.531938	W	OPEN WATER	Trawl	9/12/24	0:00:21	0:12:02	Night	20240912	2024	9	12
